T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
10.271,25.378,14.407,14.827,-13.454,36.946,9.5167,1.6446,2.0253,0.38417,1100,Cwc
10.284,24.442,14.401,15.329,-12.616,36.876,9.4928,1.6402,2.0187,0.38422,1101,Cwc
9.7018,25.562,14.296,14.266,-14.013,37.188,9.5965,1.6587,2.0452,0.38465,1126,Cwc
9.6411,25.121,14.069,14.002,-13.769,37.118,9.5726,1.6543,2.0386,0.38471,1137,Cwc
9.5963,24.727,13.931,13.949,-13.989,37.048,9.5486,1.6499,2.032,0.38477,1146,Cwc
9.8147,24.315,13.973,14.458,-13.44,36.979,9.5246,1.6455,2.0255,0.38483,1188,Cwc
9.8147,24.315,13.973,14.458,-13.44,36.909,9.5007,1.6412,2.019,0.3849,1175,Cwc
14.082,27.264,16.578,16.866,-2.4912,43.765,10.601,2.2961,2.5213,0.4064,4,Dwa
15.12,28.907,17.405,17.488,-2.15,43.857,10.617,2.3011,2.5282,0.40644,4,Dwa
14.804,27.956,17.367,17.221,-2.0925,43.948,10.631,2.3062,2.535,0.4065,2,Dwa
14.082,27.264,16.578,16.866,-2.4912,43.837,10.619,2.2978,2.526,0.40653,4,Dwa
15.052,29.208,17.315,17.74,-2.6437,43.929,10.634,2.3029,2.5328,0.40658,7,Dwa
14.748,28.748,17.049,17.911,-2.5425,43.817,10.622,2.2946,2.5237,0.40662,5,Dwa
15.293,30.026,17.327,18.082,-2.8275,43.909,10.637,2.2996,2.5306,0.40667,5,Dwa
14.804,27.956,17.367,17.221,-2.0925,44,10.651,2.3048,2.5374,0.40673,4,Dwa
14.748,28.748,17.049,17.911,-2.5425,43.89,10.64,2.2963,2.5284,0.40675,6,Dwa
15.526,30.028,17.606,18.598,-2.8063,43.98,10.654,2.3015,2.5352,0.40681,7,Dwa
14.794,28.589,16.986,18.049,-2.515,43.87,10.643,2.293,2.5262,0.40684,5,Dwa
15.534,30.385,17.552,18.544,-2.855,43.961,10.657,2.2982,2.533,0.40689,7,Dwa
14.262,27.713,16.658,16.861,-2.8763,44.051,10.671,2.3035,2.5398,0.40696,8,Dwa
14.794,28.589,16.986,18.049,-2.515,43.942,10.66,2.2948,2.5308,0.40697,6,Dwa
15.526,30.028,17.606,18.598,-2.8063,44.032,10.674,2.3001,2.5376,0.40704,7,Dwa
14.497,27.971,16.596,17.836,-2.4388,43.923,10.663,2.2915,2.5286,0.40705,6,Dwa
15.534,30.385,17.552,18.544,-2.855,44.013,10.677,2.2967,2.5354,0.40712,7,Dwa
14.794,28.589,16.986,18.049,-2.515,43.994,10.68,2.2933,2.5333,0.4072,6,Dwa
13.984,27.066,16.184,17.433,-2.6212,43.975,10.684,2.2899,2.5311,0.40727,6,Dwa
15.342,29.909,17.68,20.964,-4.205,49.071,13.282,2.2735,2.6712,0.4287,92,Dwa
